Category,Name,Version
firmware,Application binaries packages,11.8.0.328
firmware,Capsule Neuron 3 certificate compatibility version 2025,1.0.0.0
ddi,AspectA,5.1.3.10
ddi,BaxterIFMout,5.4.6.48
ddi,DatexA,5.3.20.34
ddi,DatexOhmedaCom,5.3.14.11
ddi,DragerMedibus,5.3.23.8
ddi,FreseniusF,5.4.5.49
ddi,InvivoB,5.1.8.2
ddi,IRadimedA,5.2.2.5
ddi,MarquetteA5,5.3.9.11
ddi,MindrayB,5.3.1.4
ddi,MindrayD,5.3.6.22
ddi,MindrayE,5.3.5.22
ddi,NoninA,5.0.1.7
ddi,PhilipsDataExport,5.3.19.21
ddi,SorinA,5.3.3.1
ddi,SorinC,5.4.0.30
ddi,TerumoD,5.2.2.2
