"Hostname","PCSerial","MonitorSerials"
"WCP480EPT030","MZ00LZKF","V30CAR5H; V5VPN973"
"WCP480EPT032","MZ00LZPG","V30CBN1K; V5VTB145"
"WCP480EPT042","MZ00LZDT","V30CAR50; V5VTB605"
"WCP480EPT112","MZ00LZ8J","V30CBMZW; V5VTB815"
"WCP480EPT189","MZ01GJNF","V30DA7Y1; V5VTA606"
"WCP480EPT190","MZ01GJJ3","V30DA7Y9; V5VTD321"
"WCP480EPT191","MZ01GJLE","V30DA7YK; V5VTB662"
"WCP480EPT193","MZ01GJKQ","V30DA7ZG; V5VTA416"
"WCP480EPT194","MZ01GJLH","V30DA7YZ; V5VTA645"
"WCP480EPT195","MZ01GJGP","V30DA7ZD; V5VTB579"
"WCP480EPT196","MZ01GJL9","V30DA7YD; V5VTA413"
"WCP480EPT197","MZ01GJGR","V30DA7Z6; V5VTA608"
"WCP480EPT198","MZ01GJLW","V30DA7YL; V5VTA598"
"WCP480EPT199","MZ01GJKS","V30DA7Z4; V5VTA423"
"WCP480EPT200","MZ01GJGY","V30DA7Z9; V5VTA610"
"WCP480EPT202","MZ01GJGF","V30DA7ZA; V5VTA415"
"WCP480EPT204","MZ01GJN3","V30DA7YX; V5VTB822"
"WCP480EPT207","MZ01GJMZ","V30DA7Z1; V5VTA440"
"WCP480EPT208","MZ01GJL5","V30DA7ZV; V5VTA434"
"WCP480EPT209","MZ01GJN0","V30DA7Y6; V5VTA600"
"WCP480EPT210","MZ01GJGW","V30DA7Z8; V5VTA620"
"WCP480EPT211","MZ01GJH6","V30DA7YW; V5VTB826"
"WCP480EPT212","MZ01GJKC","V30DA7YV; V5VTA637"
"WCP480EPT217",,
"WCP480EPT218",,
"WCP480EPT227","MZ01GJM5","V30DA7YT; V5VRF837"
"WCP480EPT228","MZ01GJKL","V30DA7YP; V5VTB847"
"WCP480EPT229","MZ01GJLR","V30DA7YG; V5VTB015"
"WCP480EPT230","MZ01GJAC","V30DA7ZP; V5VTB007"
"WCP480EPT231","MZ01GJJ5","V30DA7YC; V5VTB850"
"WCP480EPT232","MZ01GJ4M","V30D8PMR; V5VTB835"
"WCP480EPT233","MZ01GGLL","V30D8PML; V5VTB840"
"WCP480EPT234","MZ01GJ0P","V30DB7B7; V5VTB841"
"WCP480EPT235","MZ01GHZZ","V30D8PMX; V5VTB857"
"WCP480EPT236","MZ01GJ42","V30D8PN0; V5VTA997"
"WCP480EPT237","MZ01GJ46","V30D8PMN; V5VTB851"
"WCP480EPT238","MZ01GHXE","V30D8PN5; V5VTB827"
"WCP480EPT239","MZ01GJ3L","V30D8PNA; V5VTB855"
"WCP480EPT240","MZ01GJ71","V30D8PN6; V5VTB856"
"WCP480EPT241","MZ01GHZ6","V30D8PGP; V5VTB832"
"WCP480EPT242","MZ01GGRX","V30D8PMG; V5VTB825"
"WCP480EPT243","MZ01GJ44","V30D8PN7; V5VTB844"
"WCP480EPT244","MZ01GGQK","V30D8PMZ; V5VTB568"
"WCP480EPT245","MZ01GGLA","V30D8PN3; V5VRF840"
"WCP480EPT246","MZ01GGM0","V30D8PN2; V5VTA998"
"WCP480EPT248","MZ01GJEF","V30D8PP2; V5VTB058"
"WCP480EPT249","MZ01GJ0R","V30DB7FH; V5VTB834"
"WCP480EPT251","MZ01GHZR","V30D8PMY; V5VTB816"
"WCP480EPT252","MZ01GGTD","V30D8PMW; V5VTB836"
"WCP480EPT253","MZ01GGL5","V30D8PMP; V5VTB813"
"WCP480EPT254","MZ01GJ36","V30D8PHH; V5VTB852"
"WCP480EPT255","MZ01GJES","V30D8PNG; V5VTB031"
"WCP480EPT256","MZ01GJ8V","V30D8PNK; V5VTB038"
"WCP480EPT257","MZ01GJBD","V30D8PMH; V5VRF844"
"WCP480EPT258","MZ01GHZH","V30DA64M; V5VRF835"
"WCP480EPT259","MZ01GHWK","V30CD1BZ; V5VRF855"
"WCP480EPT260","MZ01GJG7","V30D8PND; V5VTB853"
"WCP480EPT261","MZ01GJJV","V30D8PNL; V5VRF830"
"WCP480EPT262","MZ01GJ9T","V30D8PGR; V5VTB843"
"WCP480EPT265",,
"WCP480EPT271",,
"WCP480EPT273",,
