site_code,site_name,aliases,notes
NSUH,North Shore University Hospital,"north shore,nsuh",Cybernet/Neuron supported site
LIJMC,Long Island Jewish Medical Center,"lij,lij main",Cybernet/Neuron supported site
CCMC,Cohen Children's Medical Center,"cohen,ccmc",Cybernet/Neuron supported site
CFAM,Center for Advanced Medicine,"cfam,advanced medicine",Cybernet/Neuron supported site
GLENCOVE,Glen Cove Hospital,"glen cove,glencove",Cybernet/Neuron supported site
ZUCKER,Zucker Hospital,"zucker",Cybernet/Neuron supported site
VALLEYSTREAM,Valley Stream / LIJVS,"valley stream,lijvs",Cybernet/Neuron supported site
MATHER,Mather Hospital,"mather",Cybernet/Neuron supported site
BAYSHORE,Bayshore Hospital,"bayshore",Cybernet/Neuron supported site
HUNTINGTON,Huntington Hospital,"huntington",Cybernet/Neuron supported site
