Hostname,Server,Queue
WPV522PED001,\\SWBPNSHPS01V,\PV522-PED01
WPV522PED002,\\SWBPNSHPS01V,\PV522-PED01
WPV522PED003,\\SWBPNSHPS01V,\PV522-PED04
WPV522PED004,\\SWBPNSHPS01V,\PV522-PED04
WPV522PED005,\\SWBPNSHPS01V,\PV522-PED01
WPV522PED006,\\SWBPNSHPS01V,\PV522-PED01
WPV522PED007,\\SWBPNSHPS01V,\PV522-PED01
WPV522PED008,\\SWBPNSHPS01V,\PV522-PED01
LPV522PED001,\\SWBPNSHPS01V,\PV522-PED01
LPV522PED002,\\SWBPNSHPS01V,\PV522-PED02
LPV522PED003,\\SWBPNSHPS01V,\PV522-PED03
WPV522PED009,\\SWBPNSHPS01V,\PV522-PED02
WPV522PED010,\\SWBPNSHPS01V,\PV522-PED04
WPV522PED011,\\SWBPNSHPS01V,\PV522-PED04
WPV522PED012,\\SWBPNSHPS01V,\PV522-PED02
WPV522PED013,\\SWBPNSHPS01V,\PV522-PED03
